file,site,profile,date_raw,Дата,Год,Пункт,ГП,ИПН_м,ИГП_м,РГП_ПН_м
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,1958-10-01,1958-10-01,1958,,136,249.42,125.4,124.02
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,1960-10-23,1960-10-23,1960,,136,230.24,106.22,124.02
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,1965-07-31,1965-07-31,1965,,136,198.78,74.76,124.02
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,1970-07-18,1970-07-18,1970,,136,182.19,58.17,124.02
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,1974-07-13,1974-07-13,1974,,135,172.92,11.8,161.12
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,1980-11-27,1980-11-27,1980,,135,162.77,1.65,161.12
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,1986-10-26,1986-10-26,1986,,136,148.52,24.5,124.02
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,1991-10-18,1991-10-18,1991,,136,130.4,6.38,124.02
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,1994-10-21,1994-10-21,1994,,136,128.44,4.42,124.02
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2000-07-13,2000-07-13,2000,,136В,105.42,105.42,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2001-07-15,2001-07-15,2001,,136А*,100.47,30.74,69.73
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2005-07-22,2005-07-22,2005,,136А,82.19,12.46,69.73
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2005-10-15,2005-10-15,2005,,136А,82.15,12.42,69.73
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2006-07-22,2006-07-22,2006,,136А,78.33,8.6,69.73
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2006-09-30,2006-09-30,2006,,136А,78.26,8.53,69.73
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2009-07-20,2009-07-20,2009,,136В(0907),57.79,57.79,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2010-07-24,2010-07-24,2010,,136В(1007),65.33,65.33,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2011-09-14,2011-09-14,2011,,136В(1109),65.49,65.49,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2012-10-16,2012-10-16,2012,,136В(1109),64.52,64.52,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2013-07-09,2013-07-09,2013,,136В(1109),62.49,62.49,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2016-05-25,2016-05-25,2016,,136В(1109),53.2,53.2,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2019-08-14,2019-08-14,2019,,136В(1109),45.8,45.8,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2021-07-07,2021-07-07,2021,,136В(1109),29.0,29.0,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2023-10-03,2023-10-03,2023,,136В(1109),22.07,22.07,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___61.xlsx,Бережновка,ПРОФИЛЬ___61,1958-10-01,1958-10-01,1958,,138,252.52,156.3,96.22
results_models\profiles\Бережновка__ПРОФИЛЬ___61.xlsx,Бережновка,ПРОФИЛЬ___61,1960-10-23,1960-10-23,1960,,138,231.58,135.36,96.22
results_models\profiles\Бережновка__ПРОФИЛЬ___61.xlsx,Бережновка,ПРОФИЛЬ___61,1965-07-31,1965-07-31,1965,,138,207.65,111.43,96.22
results_models\profiles\Бережновка__ПРОФИЛЬ___61.xlsx,Бережновка,ПРОФИЛЬ___61,1970-07-18,1970-07-18,1970,,138,187.22,91.0,96.22
results_models\profiles\Бережновка__ПРОФИЛЬ___61.xlsx,Бережновка,ПРОФИЛЬ___61,1974-07-13,1974-07-13,1974,,137,173.78,30.7,143.08
results_models\profiles\Бережновка__ПРОФИЛЬ___61.xlsx,Бережновка,ПРОФИЛЬ___61,1980-11-27,1980-11-27,1980,,137,163.53,20.45,143.08
results_models\profiles\Бережновка__ПРОФИЛЬ___61.xlsx,Бережновка,ПРОФИЛЬ___61,1986-10-26,1986-10-26,1986,,138,148.37,52.15,96.22
results_models\profiles\Бережновка__ПРОФИЛЬ___61.xlsx,Бережновка,ПРОФИЛЬ___61,1991-10-18,1991-10-18,1991,,3С,128.45,5.63,122.82
results_models\profiles\Бережновка__ПРОФИЛЬ___61.xlsx,Бережновка,ПРОФИЛЬ___61,1994-10-21,1994-10-21,1994,,3С,127.82,5.0,122.82
results_models\profiles\Бережновка__ПРОФИЛЬ___61.xlsx,Бережновка,ПРОФИЛЬ___61,2000-07-13,2000-07-13,2000,,138А,91.26,91.26,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___61.xlsx,Бережновка,ПРОФИЛЬ___61,2001-07-15,2001-07-15,2001,,"Рп ""Белимова""*",84.69999999999999,41.41,43.29
results_models\profiles\Бережновка__ПРОФИЛЬ___61.xlsx,Бережновка,ПРОФИЛЬ___61,2005-07-22,2005-07-22,2005,,138А,53.9,53.9,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___61.xlsx,Бережновка,ПРОФИЛЬ___61,2005-10-15,2005-10-15,2005,,138А,52.25,52.25,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___61.xlsx,Бережновка,ПРОФИЛЬ___61,2006-07-22,2006-07-22,2006,,138А,48.55,48.55,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___61.xlsx,Бережновка,ПРОФИЛЬ___61,2006-09-30,2006-09-30,2006,,138А,48.19,48.19,48.19
results_models\profiles\Бережновка__ПРОФИЛЬ___61.xlsx,Бережновка,ПРОФИЛЬ___61,2009-07-20,2009-07-20,2009,,138А(0907),32.2,32.2,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___61.xlsx,Бережновка,ПРОФИЛЬ___61,2010-07-24,2010-07-24,2010,,138А(0907),29.91,29.91,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___61.xlsx,Бережновка,ПРОФИЛЬ___61,2011-09-14,2011-09-14,2011,,138А(0907),29.02,29.02,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___61.xlsx,Бережновка,ПРОФИЛЬ___61,2012-10-16,2012-10-16,2012,,138А(0907),27.9,27.9,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___61.xlsx,Бережновка,ПРОФИЛЬ___61,2013-07-09,2013-07-09,2013,,138А(0907),26.69,26.69,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___61.xlsx,Бережновка,ПРОФИЛЬ___61,2016-05-25,2016-05-25,2016,,138А(0907),18.54,18.54,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___61.xlsx,Бережновка,ПРОФИЛЬ___61,2019-08-14,2019-08-14,2019,,138А(0907),14.95,14.95,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___61.xlsx,Бережновка,ПРОФИЛЬ___61,2021-07-07,2021-07-07,2021,,138А(0907),7.679999999999993,92.57,-84.89
results_models\profiles\Бережновка__ПРОФИЛЬ___61.xlsx,Бережновка,ПРОФИЛЬ___61,2023-10-03,2023-10-03,2023,,138C,6.030000000000001,41.5,49.42
results_models\profiles\Бережновка__ПРОФИЛЬ___62.xlsx,Бережновка,ПРОФИЛЬ___62,1958-10-01,1958-10-01,1958,,140,428.8298156863984,134.3,
results_models\profiles\Бережновка__ПРОФИЛЬ___62.xlsx,Бережновка,ПРОФИЛЬ___62,1960-10-23,1960-10-23,1960,,140,403.7298156863984,109.2,
results_models\profiles\Бережновка__ПРОФИЛЬ___62.xlsx,Бережновка,ПРОФИЛЬ___62,1965-07-31,1965-07-31,1965,,140,366.5798156863984,72.05,
results_models\profiles\Бережновка__ПРОФИЛЬ___62.xlsx,Бережновка,ПРОФИЛЬ___62,1970-07-18,1970-07-18,1970,,140,343.2398156863983,48.71,
results_models\profiles\Бережновка__ПРОФИЛЬ___62.xlsx,Бережновка,ПРОФИЛЬ___62,1974-07-13,1974-07-13,1974,,139,326.6339500915917,7.1,
results_models\profiles\Бережновка__ПРОФИЛЬ___62.xlsx,Бережновка,ПРОФИЛЬ___62,1980-11-27,1980-11-27,1980,,140,313.9798156863984,19.45,
results_models\profiles\Бережновка__ПРОФИЛЬ___62.xlsx,Бережновка,ПРОФИЛЬ___62,1986-10-26,1986-10-26,1986,,5C,291.9556809546842,19.43,
results_models\profiles\Бережновка__ПРОФИЛЬ___62.xlsx,Бережновка,ПРОФИЛЬ___62,1991-10-18,1991-10-18,1991,,5C2,270.2921223979866,25.34,
results_models\profiles\Бережновка__ПРОФИЛЬ___62.xlsx,Бережновка,ПРОФИЛЬ___62,1994-10-21,1994-10-21,1994,,140А,248.5920469065332,9.59,
results_models\profiles\Бережновка__ПРОФИЛЬ___62.xlsx,Бережновка,ПРОФИЛЬ___62,2000-07-13,2000-07-13,2000,,140,216.7398156863984,-77.79,
results_models\profiles\Бережновка__ПРОФИЛЬ___62.xlsx,Бережновка,ПРОФИЛЬ___62,2001-07-15,2001-07-15,2001,,140А*,271.5020469065332,32.5,
results_models\profiles\Бережновка__ПРОФИЛЬ___62.xlsx,Бережновка,ПРОФИЛЬ___62,2005-07-22,2005-07-22,2005,,,,,
results_models\profiles\Бережновка__ПРОФИЛЬ___62.xlsx,Бережновка,ПРОФИЛЬ___62,2005-10-15,2005-10-15,2005,,140С*,180.445480408161,40.45,
results_models\profiles\Бережновка__ПРОФИЛЬ___62.xlsx,Бережновка,ПРОФИЛЬ___62,2006-07-22,2006-07-22,2006,,140С,175.84,35.85,139.99
results_models\profiles\Бережновка__ПРОФИЛЬ___62.xlsx,Бережновка,ПРОФИЛЬ___62,2006-09-30,2006-09-30,2006,,140С,175.79,35.8,139.99
results_models\profiles\Бережновка__ПРОФИЛЬ___62.xlsx,Бережновка,ПРОФИЛЬ___62,2009-07-20,2009-07-20,2009,,140С,146.9,6.91,139.99
results_models\profiles\Бережновка__ПРОФИЛЬ___62.xlsx,Бережновка,ПРОФИЛЬ___62,2010-07-24,2010-07-24,2010,,140С,144.63,4.64,139.99
results_models\profiles\Бережновка__ПРОФИЛЬ___62.xlsx,Бережновка,ПРОФИЛЬ___62,2011-09-14,2011-09-14,2011,,140С,143.99,4.0,139.99
results_models\profiles\Бережновка__ПРОФИЛЬ___62.xlsx,Бережновка,ПРОФИЛЬ___62,2012-10-16,2012-10-16,2012,,140С,143.25,3.26,139.99
results_models\profiles\Бережновка__ПРОФИЛЬ___62.xlsx,Бережновка,ПРОФИЛЬ___62,2013-07-09,2013-07-09,2013,,140D,137.2,137.2,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___62.xlsx,Бережновка,ПРОФИЛЬ___62,2016-05-25,2016-05-25,2016,,140D,125.15,125.15,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___62.xlsx,Бережновка,ПРОФИЛЬ___62,2019-08-14,2019-08-14,2019,,140D,121.8,121.8,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___62.xlsx,Бережновка,ПРОФИЛЬ___62,2021-07-07,2021-07-07,2021,,140D,120.32,120.32,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___62.xlsx,Бережновка,ПРОФИЛЬ___62,2023-10-03,2023-10-03,2023,,140F,118.89,64.01,54.88
results_models\profiles\Бурты__ПРОФИЛЬ___1.xlsx,Бурты,ПРОФИЛЬ___1,1987-06-30,1987-06-30,1987,,1а,82.85000000000001,1.3,81.55000000000001
results_models\profiles\Бурты__ПРОФИЛЬ___1.xlsx,Бурты,ПРОФИЛЬ___1,1990-05-28,1990-05-28,1990,,1а,82.16000000000001,0.61,81.55000000000001
results_models\profiles\Бурты__ПРОФИЛЬ___1.xlsx,Бурты,ПРОФИЛЬ___1,1995-07-19,1995-07-19,1995,,1,74.38,16.5,57.88
results_models\profiles\Бурты__ПРОФИЛЬ___1.xlsx,Бурты,ПРОФИЛЬ___1,2000-07-15,2000-07-15,2000,,1,70.12,12.24,57.88
results_models\profiles\Бурты__ПРОФИЛЬ___1.xlsx,Бурты,ПРОФИЛЬ___1,2001-07-10,2001-07-10,2001,,1,69.4,11.52,57.88
results_models\profiles\Бурты__ПРОФИЛЬ___1.xlsx,Бурты,ПРОФИЛЬ___1,2003-07-17,2003-07-17,2003,,1,66.38,8.5,57.88
results_models\profiles\Бурты__ПРОФИЛЬ___1.xlsx,Бурты,ПРОФИЛЬ___1,2004-07-21,2004-07-21,2004,,1,65.4,7.52,57.88
results_models\profiles\Бурты__ПРОФИЛЬ___1.xlsx,Бурты,ПРОФИЛЬ___1,2005-07-18,2005-07-18,2005,,1,65.17,7.29,57.88
results_models\profiles\Бурты__ПРОФИЛЬ___1.xlsx,Бурты,ПРОФИЛЬ___1,2006-07-28,2006-07-28,2006,,1,63.36,5.48,57.88
results_models\profiles\Бурты__ПРОФИЛЬ___1.xlsx,Бурты,ПРОФИЛЬ___1,2006-10-02,2006-10-02,2006,,1,63.27,5.39,57.88
results_models\profiles\Бурты__ПРОФИЛЬ___1.xlsx,Бурты,ПРОФИЛЬ___1,2008-11-22,2008-11-22,2008,,1,60.66,2.78,57.88
results_models\profiles\Бурты__ПРОФИЛЬ___1.xlsx,Бурты,ПРОФИЛЬ___1,2009-07-17,2009-07-17,2009,,1,60.78,2.9,57.88
results_models\profiles\Бурты__ПРОФИЛЬ___1.xlsx,Бурты,ПРОФИЛЬ___1,2009-10-01,2009-10-01,2009,,1,59.6,1.72,57.88
results_models\profiles\Бурты__ПРОФИЛЬ___1.xlsx,Бурты,ПРОФИЛЬ___1,2010-07-22,2010-07-22,2010,,10,59.54,59.54,0.0
results_models\profiles\Бурты__ПРОФИЛЬ___1.xlsx,Бурты,ПРОФИЛЬ___1,2011-07-13,2011-07-13,2011,,11,58.84,33.48,25.36
results_models\profiles\Бурты__ПРОФИЛЬ___1.xlsx,Бурты,ПРОФИЛЬ___1,2012-09-25,2012-09-25,2012,,11,58.64,33.28,25.36
results_models\profiles\Бурты__ПРОФИЛЬ___1.xlsx,Бурты,ПРОФИЛЬ___1,2013-07-12,2013-07-12,2013,,11,58.07,32.74,25.33
results_models\profiles\Бурты__ПРОФИЛЬ___1.xlsx,Бурты,ПРОФИЛЬ___1,2014-07-09,2014-07-09,2014,,11(1407),55.19,29.83,25.36
results_models\profiles\Бурты__ПРОФИЛЬ___1.xlsx,Бурты,ПРОФИЛЬ___1,2015-07-14,2015-07-14,2015,,11(1407),54.79,29.43,25.36
results_models\profiles\Бурты__ПРОФИЛЬ___1.xlsx,Бурты,ПРОФИЛЬ___1,2016-10-13,2016-10-13,2016,,11(1407),54.46,29.1,25.36
results_models\profiles\Бурты__ПРОФИЛЬ___1.xlsx,Бурты,ПРОФИЛЬ___1,2017-06-20,2017-06-20,2017,,11(1407),52.9,27.54,25.36
results_models\profiles\Бурты__ПРОФИЛЬ___1.xlsx,Бурты,ПРОФИЛЬ___1,2019-10-08,2019-10-08,2019,,11(1407),51.81,26.45,25.36
results_models\profiles\Бурты__ПРОФИЛЬ___1.xlsx,Бурты,ПРОФИЛЬ___1,2020-08-18,2020-08-18,2020,,11(1407),50.8,25.44,25.36
results_models\profiles\Бурты__ПРОФИЛЬ___1.xlsx,Бурты,ПРОФИЛЬ___1,2022-08-04,2022-08-04,2022,,11(1407),49.11,23.75,25.36
results_models\profiles\Бурты__ПРОФИЛЬ___1.xlsx,Бурты,ПРОФИЛЬ___1,2023-08-15,2023-08-15,2023,,11(1407),48.43,23.07,25.36
results_models\profiles\Бурты__ПРОФИЛЬ___2.xlsx,Бурты,ПРОФИЛЬ___2,1987-06-30,1987-06-30,1987,,2а,78.47999999999999,2.0,76.47999999999999
results_models\profiles\Бурты__ПРОФИЛЬ___2.xlsx,Бурты,ПРОФИЛЬ___2,1990-05-28,1990-05-28,1990,,2,76.03,22.55,53.48
results_models\profiles\Бурты__ПРОФИЛЬ___2.xlsx,Бурты,ПРОФИЛЬ___2,1995-07-19,1995-07-19,1995,,2,69.28,15.8,53.48
results_models\profiles\Бурты__ПРОФИЛЬ___2.xlsx,Бурты,ПРОФИЛЬ___2,2000-07-15,2000-07-15,2000,,2,64.91,11.43,53.48
results_models\profiles\Бурты__ПРОФИЛЬ___2.xlsx,Бурты,ПРОФИЛЬ___2,2001-07-10,2001-07-10,2001,,2,61.03,7.55,53.48
results_models\profiles\Бурты__ПРОФИЛЬ___2.xlsx,Бурты,ПРОФИЛЬ___2,2003-07-17,2003-07-17,2003,,2,58.38,4.9,53.48
results_models\profiles\Бурты__ПРОФИЛЬ___2.xlsx,Бурты,ПРОФИЛЬ___2,2004-07-21,2004-07-21,2004,,20,56.56,56.56,0.0
results_models\profiles\Бурты__ПРОФИЛЬ___2.xlsx,Бурты,ПРОФИЛЬ___2,2005-07-18,2005-07-18,2005,,20,56.01,56.01,0.0
results_models\profiles\Бурты__ПРОФИЛЬ___2.xlsx,Бурты,ПРОФИЛЬ___2,2006-07-28,2006-07-28,2006,,20,53.13,53.13,0.0
results_models\profiles\Бурты__ПРОФИЛЬ___2.xlsx,Бурты,ПРОФИЛЬ___2,2006-10-02,2006-10-02,2006,,21(нов.),53.41,19.79,33.62
results_models\profiles\Бурты__ПРОФИЛЬ___2.xlsx,Бурты,ПРОФИЛЬ___2,2008-11-22,2008-11-22,2008,,21(нов.),49.69,16.07,33.62
results_models\profiles\Бурты__ПРОФИЛЬ___2.xlsx,Бурты,ПРОФИЛЬ___2,2009-07-17,2009-07-17,2009,,21(нов.),49.02,15.4,33.62
results_models\profiles\Бурты__ПРОФИЛЬ___2.xlsx,Бурты,ПРОФИЛЬ___2,2009-10-01,2009-10-01,2009,,21 (нов.),48.62,15.0,33.62
results_models\profiles\Бурты__ПРОФИЛЬ___2.xlsx,Бурты,ПРОФИЛЬ___2,2010-07-22,2010-07-22,2010,,21 (нов.),48.3,14.68,33.62
results_models\profiles\Бурты__ПРОФИЛЬ___2.xlsx,Бурты,ПРОФИЛЬ___2,2011-07-13,2011-07-13,2011,,21 (нов.),48.22,14.6,33.62
results_models\profiles\Бурты__ПРОФИЛЬ___2.xlsx,Бурты,ПРОФИЛЬ___2,2012-09-25,2012-09-25,2012,,21 (нов.),48.22,14.6,33.62
results_models\profiles\Бурты__ПРОФИЛЬ___2.xlsx,Бурты,ПРОФИЛЬ___2,2013-07-12,2013-07-12,2013,,21 (нов.),47.34,13.72,33.62
results_models\profiles\Бурты__ПРОФИЛЬ___2.xlsx,Бурты,ПРОФИЛЬ___2,2014-07-09,2014-07-09,2014,,21 (нов.),44.86,11.24,33.62
results_models\profiles\Бурты__ПРОФИЛЬ___2.xlsx,Бурты,ПРОФИЛЬ___2,2015-07-14,2015-07-14,2015,,21 (нов.),44.42,10.8,33.62
results_models\profiles\Бурты__ПРОФИЛЬ___2.xlsx,Бурты,ПРОФИЛЬ___2,2016-10-13,2016-10-13,2016,,21 (нов.),43.63,10.01,33.62
results_models\profiles\Бурты__ПРОФИЛЬ___2.xlsx,Бурты,ПРОФИЛЬ___2,2017-06-20,2017-06-20,2017,,21 (нов.),41.41,7.79,33.62
results_models\profiles\Бурты__ПРОФИЛЬ___2.xlsx,Бурты,ПРОФИЛЬ___2,2019-10-08,2019-10-08,2019,,21 (нов.),40.38,6.76,33.62
results_models\profiles\Бурты__ПРОФИЛЬ___2.xlsx,Бурты,ПРОФИЛЬ___2,2020-08-18,2020-08-18,2020,,21 (нов.),39.12,5.5,33.62
results_models\profiles\Бурты__ПРОФИЛЬ___2.xlsx,Бурты,ПРОФИЛЬ___2,2022-08-04,2022-08-04,2022,,21 (нов.),38.14,4.52,33.62
results_models\profiles\Бурты__ПРОФИЛЬ___2.xlsx,Бурты,ПРОФИЛЬ___2,2023-08-15,2023-08-15,2023,,21 (нов.),37.12,3.5,33.62
results_models\profiles\Бурты__ПРОФИЛЬ___3.xlsx,Бурты,ПРОФИЛЬ___3,1987-06-30,1987-06-30,1987,,3а,76.2,2.2,74.0
results_models\profiles\Бурты__ПРОФИЛЬ___3.xlsx,Бурты,ПРОФИЛЬ___3,1990-05-28,1990-05-28,1990,,3,72.74000000000001,17.54,55.2
results_models\profiles\Бурты__ПРОФИЛЬ___3.xlsx,Бурты,ПРОФИЛЬ___3,1995-07-19,1995-07-19,1995,,3,63.37,8.17,55.2
results_models\profiles\Бурты__ПРОФИЛЬ___3.xlsx,Бурты,ПРОФИЛЬ___3,2000-07-15,2000-07-15,2000,,3,57.77,2.57,55.2
results_models\profiles\Бурты__ПРОФИЛЬ___3.xlsx,Бурты,ПРОФИЛЬ___3,2001-07-10,2001-07-10,2001,,3,56.15000000000001,0.95,55.2
results_models\profiles\Бурты__ПРОФИЛЬ___3.xlsx,Бурты,ПРОФИЛЬ___3,2003-07-17,2003-07-17,2003,,30,53.4,53.4,0.0
results_models\profiles\Бурты__ПРОФИЛЬ___3.xlsx,Бурты,ПРОФИЛЬ___3,2004-07-21,2004-07-21,2004,,30,51.28,51.28,0.0
results_models\profiles\Бурты__ПРОФИЛЬ___3.xlsx,Бурты,ПРОФИЛЬ___3,2005-07-18,2005-07-18,2005,,31,50.92,50.92,0.0
results_models\profiles\Бурты__ПРОФИЛЬ___3.xlsx,Бурты,ПРОФИЛЬ___3,2006-07-28,2006-07-28,2006,,31,49.33,49.33,0.0
results_models\profiles\Бурты__ПРОФИЛЬ___3.xlsx,Бурты,ПРОФИЛЬ___3,2006-10-02,2006-10-02,2006,,31,49.37,49.37,0.0
results_models\profiles\Бурты__ПРОФИЛЬ___3.xlsx,Бурты,ПРОФИЛЬ___3,2008-11-22,2008-11-22,2008,,31,46.57,46.57,0.0
results_models\profiles\Бурты__ПРОФИЛЬ___3.xlsx,Бурты,ПРОФИЛЬ___3,2009-07-17,2009-07-17,2009,,31,46.6,46.6,0.0
results_models\profiles\Бурты__ПРОФИЛЬ___3.xlsx,Бурты,ПРОФИЛЬ___3,2009-10-01,2009-10-01,2009,,31,46.0,46.0,0.0
results_models\profiles\Бурты__ПРОФИЛЬ___3.xlsx,Бурты,ПРОФИЛЬ___3,2010-07-22,2010-07-22,2010,,31,44.72,44.72,0.0
results_models\profiles\Бурты__ПРОФИЛЬ___3.xlsx,Бурты,ПРОФИЛЬ___3,2011-07-13,2011-07-13,2011,,31,44.7,44.7,0.0
results_models\profiles\Бурты__ПРОФИЛЬ___3.xlsx,Бурты,ПРОФИЛЬ___3,2012-09-25,2012-09-25,2012,,31,44.03,44.03,0.0
results_models\profiles\Бурты__ПРОФИЛЬ___3.xlsx,Бурты,ПРОФИЛЬ___3,2013-07-12,2013-07-12,2013,,31,44.0,44.0,0.0
