file,site,profile,date_raw,Дата,Год,Пункт,ГП,ИПН_м,ИГП_м,РГП_ПН_м
results_models\profiles\Бурты__ПРОФИЛЬ___3.xlsx,Бурты,ПРОФИЛЬ___3,2014-07-09,2014-07-09,2014,,31,43.76,43.76,0.0
results_models\profiles\Бурты__ПРОФИЛЬ___3.xlsx,Бурты,ПРОФИЛЬ___3,2015-07-14,2015-07-14,2015,,31,43.69,43.69,0.0
results_models\profiles\Бурты__ПРОФИЛЬ___3.xlsx,Бурты,ПРОФИЛЬ___3,2016-10-13,2016-10-13,2016,,*,,,
results_models\profiles\Бурты__ПРОФИЛЬ___3.xlsx,Бурты,ПРОФИЛЬ___3,2017-06-20,2017-06-20,2017,,31,43.54,43.54,0.0
results_models\profiles\Бурты__ПРОФИЛЬ___3.xlsx,Бурты,ПРОФИЛЬ___3,2019-10-08,2019-10-08,2019,,31,43.3,43.3,0.0
results_models\profiles\Бурты__ПРОФИЛЬ___3.xlsx,Бурты,ПРОФИЛЬ___3,2020-08-18,2020-08-18,2020,,31,43.46,43.46,0.0
results_models\profiles\Бурты__ПРОФИЛЬ___3.xlsx,Бурты,ПРОФИЛЬ___3,2022-08-04,2022-08-04,2022,,31,43.42,43.42,0.0
results_models\profiles\Бурты__ПРОФИЛЬ___3.xlsx,Бурты,ПРОФИЛЬ___3,2023-08-15,2023-08-15,2023,,31,43.1,43.1,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___57.xlsx,Молчановка,ПРОФИЛЬ___57,1958-09-30,1958-09-30,1958,,130,139.8,398.0,-258.2
results_models\profiles\Молчановка__ПРОФИЛЬ___57.xlsx,Молчановка,ПРОФИЛЬ___57,1960-10-22,1960-10-22,1960,,129,135.1,135.1,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___57.xlsx,Молчановка,ПРОФИЛЬ___57,1965-07-29,1965-07-29,1965,,129,110.0,110.0,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___57.xlsx,Молчановка,ПРОФИЛЬ___57,1970-07-17,1970-07-17,1970,,129,92.74,92.74,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___57.xlsx,Молчановка,ПРОФИЛЬ___57,1974-07-16,1974-07-16,1974,,129,86.0,86.0,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___57.xlsx,Молчановка,ПРОФИЛЬ___57,1980-11-27,1980-11-27,1980,,шт. 1,81.80000000000001,8.4,73.4
results_models\profiles\Молчановка__ПРОФИЛЬ___57.xlsx,Молчановка,ПРОФИЛЬ___57,1986-10-27,1986-10-27,1986,,129,73.2,73.2,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___57.xlsx,Молчановка,ПРОФИЛЬ___57,1989-05-21,1989-05-21,1989,,129,71.65,71.65,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___57.xlsx,Молчановка,ПРОФИЛЬ___57,1994-10-24,1994-10-24,1994,,129,68.29,68.29,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___57.xlsx,Молчановка,ПРОФИЛЬ___57,2003-07-23,2003-07-23,2003,,129,66.36,66.36,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___57.xlsx,Молчановка,ПРОФИЛЬ___57,2004-07-27,2004-07-27,2004,,129*,66.01,66.01,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___57.xlsx,Молчановка,ПРОФИЛЬ___57,2006-07-23,2006-07-23,2006,,129*,65.3,65.3,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___57.xlsx,Молчановка,ПРОФИЛЬ___57,2006-09-30,2006-09-30,2006,,129,65.67,65.67,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___57.xlsx,Молчановка,ПРОФИЛЬ___57,2009-07-19,2009-07-19,2009,,129,65.27,65.27,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___57.xlsx,Молчановка,ПРОФИЛЬ___57,2010-07-24,2010-07-24,2010,,129,65.21,65.21,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___57.xlsx,Молчановка,ПРОФИЛЬ___57,2012-10-15,2012-10-15,2012,,129,61.99,61.99,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___57.xlsx,Молчановка,ПРОФИЛЬ___57,2013-07-10,2013-07-10,2013,,129,62.95,62.95,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___57.xlsx,Молчановка,ПРОФИЛЬ___57,2014-07-11,2014-07-11,2014,,129,63.42,63.42,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___57.xlsx,Молчановка,ПРОФИЛЬ___57,2015-07-15,2015-07-15,2015,,129,62.48,62.48,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___57.xlsx,Молчановка,ПРОФИЛЬ___57,2016-05-25,2016-05-25,2016,,129,60.11,60.11,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___57.xlsx,Молчановка,ПРОФИЛЬ___57,2016-09-17,2016-09-17,2016,,129,59.9,59.9,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___57.xlsx,Молчановка,ПРОФИЛЬ___57,2019-08-14,2019-08-14,2019,,129,56.0,56.0,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___57.xlsx,Молчановка,ПРОФИЛЬ___57,2021-07-07,2021-07-07,2021,,129,52.51,52.51,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___57.xlsx,Молчановка,ПРОФИЛЬ___57,2022-08-03,2022-08-03,2022,,129,52.6,52.6,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___58.xlsx,Молчановка,ПРОФИЛЬ___58,1958-09-30,1958-09-30,1958,,132,162.2,338.0,-175.8
results_models\profiles\Молчановка__ПРОФИЛЬ___58.xlsx,Молчановка,ПРОФИЛЬ___58,1960-10-22,1960-10-22,1960,,132,155.2,331.0,-175.8
results_models\profiles\Молчановка__ПРОФИЛЬ___58.xlsx,Молчановка,ПРОФИЛЬ___58,1965-07-29,1965-07-29,1965,,132,135.0,310.8,-175.8
results_models\profiles\Молчановка__ПРОФИЛЬ___58.xlsx,Молчановка,ПРОФИЛЬ___58,1970-07-17,1970-07-17,1970,,132,117.39,293.19,-175.8
results_models\profiles\Молчановка__ПРОФИЛЬ___58.xlsx,Молчановка,ПРОФИЛЬ___58,1974-07-16,1974-07-16,1974,,132,109.2,285.0,-175.8
results_models\profiles\Молчановка__ПРОФИЛЬ___58.xlsx,Молчановка,ПРОФИЛЬ___58,1980-11-27,1980-11-27,1980,,шт. 2,97.7,8.3,89.4
results_models\profiles\Молчановка__ПРОФИЛЬ___58.xlsx,Молчановка,ПРОФИЛЬ___58,1986-10-27,1986-10-27,1986,,шт. 2,92.5,3.1,89.4
results_models\profiles\Молчановка__ПРОФИЛЬ___58.xlsx,Молчановка,ПРОФИЛЬ___58,1989-05-21,1989-05-21,1989,,131,89.35,89.35,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___58.xlsx,Молчановка,ПРОФИЛЬ___58,1994-10-24,1994-10-24,1994,,131,83.1,83.1,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___58.xlsx,Молчановка,ПРОФИЛЬ___58,2003-07-23,2003-07-23,2003,,131,72.65,72.65,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___58.xlsx,Молчановка,ПРОФИЛЬ___58,2004-07-27,2004-07-27,2004,,131*,71.55,71.55,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___58.xlsx,Молчановка,ПРОФИЛЬ___58,2006-07-23,2006-07-23,2006,,131*,67.95,67.95,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___58.xlsx,Молчановка,ПРОФИЛЬ___58,2006-09-30,2006-09-30,2006,,131,67.79,67.79,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___58.xlsx,Молчановка,ПРОФИЛЬ___58,2009-07-19,2009-07-19,2009,,131,65.2,65.2,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___58.xlsx,Молчановка,ПРОФИЛЬ___58,2010-07-24,2010-07-24,2010,,131,64.96,64.96,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___58.xlsx,Молчановка,ПРОФИЛЬ___58,2012-10-15,2012-10-15,2012,,131,63.29,63.29,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___58.xlsx,Молчановка,ПРОФИЛЬ___58,2013-07-10,2013-07-10,2013,,131,62.08,62.08,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___58.xlsx,Молчановка,ПРОФИЛЬ___58,2014-07-11,2014-07-11,2014,,131,62.06,62.06,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___58.xlsx,Молчановка,ПРОФИЛЬ___58,2015-07-15,2015-07-15,2015,,131,61.92,61.92,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___58.xlsx,Молчановка,ПРОФИЛЬ___58,2016-05-25,2016-05-25,2016,,131,59.69,59.69,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___58.xlsx,Молчановка,ПРОФИЛЬ___58,2016-09-17,2016-09-17,2016,,131,59.7,59.7,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___58.xlsx,Молчановка,ПРОФИЛЬ___58,2019-08-14,2019-08-14,2019,,131,54.84,54.84,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___58.xlsx,Молчановка,ПРОФИЛЬ___58,2021-07-07,2021-07-07,2021,,131,53.4,53.4,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___58.xlsx,Молчановка,ПРОФИЛЬ___58,2022-08-03,2022-08-03,2022,,131,49.87,49.87,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___59.xlsx,Молчановка,ПРОФИЛЬ___59,1958-09-30,1958-09-30,1958,,134,191.0,356.4,-165.4
results_models\profiles\Молчановка__ПРОФИЛЬ___59.xlsx,Молчановка,ПРОФИЛЬ___59,1960-10-22,1960-10-22,1960,,133,183.3,183.3,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___59.xlsx,Молчановка,ПРОФИЛЬ___59,1965-07-29,1965-07-29,1965,,133,164.0,164.0,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___59.xlsx,Молчановка,ПРОФИЛЬ___59,1970-07-17,1970-07-17,1970,,133,143.83,143.83,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___59.xlsx,Молчановка,ПРОФИЛЬ___59,1974-07-16,1974-07-16,1974,,133,133.0,133.0,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___59.xlsx,Молчановка,ПРОФИЛЬ___59,1980-11-27,1980-11-27,1980,,шт. 3,123.32,21.3,102.02
results_models\profiles\Молчановка__ПРОФИЛЬ___59.xlsx,Молчановка,ПРОФИЛЬ___59,1986-10-27,1986-10-27,1986,,шт. 3,115.92,13.9,102.02
results_models\profiles\Молчановка__ПРОФИЛЬ___59.xlsx,Молчановка,ПРОФИЛЬ___59,1989-05-21,1989-05-21,1989,,шт. 3,113.92,11.9,102.02
results_models\profiles\Молчановка__ПРОФИЛЬ___59.xlsx,Молчановка,ПРОФИЛЬ___59,1994-10-24,1994-10-24,1994,,шт. 3,106.17,4.15,102.02
results_models\profiles\Молчановка__ПРОФИЛЬ___59.xlsx,Молчановка,ПРОФИЛЬ___59,2003-07-23,2003-07-23,2003,,133,95.59,95.59,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___59.xlsx,Молчановка,ПРОФИЛЬ___59,2004-07-27,2004-07-27,2004,,133*,94.08,94.08,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___59.xlsx,Молчановка,ПРОФИЛЬ___59,2006-07-23,2006-07-23,2006,,,,,
results_models\profiles\Молчановка__ПРОФИЛЬ___59.xlsx,Молчановка,ПРОФИЛЬ___59,2006-09-30,2006-09-30,2006,,133,90.6,90.6,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___59.xlsx,Молчановка,ПРОФИЛЬ___59,2009-07-19,2009-07-19,2009,,133,89.1,89.1,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___59.xlsx,Молчановка,ПРОФИЛЬ___59,2010-07-24,2010-07-24,2010,,133,88.01,88.01,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___59.xlsx,Молчановка,ПРОФИЛЬ___59,2012-10-15,2012-10-15,2012,,133,86.49,86.49,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___59.xlsx,Молчановка,ПРОФИЛЬ___59,2013-07-10,2013-07-10,2013,,133,86.46,86.46,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___59.xlsx,Молчановка,ПРОФИЛЬ___59,2014-07-11,2014-07-11,2014,,133,86.36,86.36,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___59.xlsx,Молчановка,ПРОФИЛЬ___59,2015-07-15,2015-07-15,2015,,133,86.12,86.12,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___59.xlsx,Молчановка,ПРОФИЛЬ___59,2016-05-25,2016-05-25,2016,,133,86.09,86.09,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___59.xlsx,Молчановка,ПРОФИЛЬ___59,2016-09-17,2016-09-17,2016,,133,86.04,86.04,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___59.xlsx,Молчановка,ПРОФИЛЬ___59,2019-08-14,2019-08-14,2019,,133,84.0,84.0,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___59.xlsx,Молчановка,ПРОФИЛЬ___59,2021-07-07,2021-07-07,2021,,133,81.77,81.77,0.0
results_models\profiles\Молчановка__ПРОФИЛЬ___59.xlsx,Молчановка,ПРОФИЛЬ___59,2022-08-03,2022-08-03,2022,,133,81.0,81.0,0.0
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___52.xlsx,Нижний_Балыклей,ПРОФИЛЬ___52,1958-09-28,1958-09-28,1958,,124,254.74,158.0,96.74
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___52.xlsx,Нижний_Балыклей,ПРОФИЛЬ___52,1960-10-22,1960-10-22,1960,,124,246.34,149.6,96.74
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___52.xlsx,Нижний_Балыклей,ПРОФИЛЬ___52,1965-07-27,1965-07-27,1965,,124,218.54,121.8,96.74
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___52.xlsx,Нижний_Балыклей,ПРОФИЛЬ___52,1970-07-15,1970-07-15,1970,,124,192.74,96.0,96.74
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___52.xlsx,Нижний_Балыклей,ПРОФИЛЬ___52,1974-07-17,1974-07-17,1974,,124,169.74,73.0,96.74
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___52.xlsx,Нижний_Балыклей,ПРОФИЛЬ___52,1980-11-13,1980-11-13,1980,,шт. 7407,145.16,16.6,128.56
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___52.xlsx,Нижний_Балыклей,ПРОФИЛЬ___52,1986-10-30,1986-10-30,1986,,124,123.84,27.1,96.74
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___52.xlsx,Нижний_Балыклей,ПРОФИЛЬ___52,1991-10-17,1991-10-17,1991,,124,102.14,5.4,96.74
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___52.xlsx,Нижний_Балыклей,ПРОФИЛЬ___52,1995-07-18,1995-07-18,1995,,124В,82.11,14.2,67.91
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___52.xlsx,Нижний_Балыклей,ПРОФИЛЬ___52,1999-07-02,1999-07-02,1999,,124,74.42999999999999,-22.31,96.74
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___52.xlsx,Нижний_Балыклей,ПРОФИЛЬ___52,2000-07-07,2000-07-07,2000,,124D,62.7,27.28,35.42
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___52.xlsx,Нижний_Балыклей,ПРОФИЛЬ___52,2001-07-07,2001-07-07,2001,,,,,
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___52.xlsx,Нижний_Балыклей,ПРОФИЛЬ___52,2005-10-11,2005-10-11,2005,,124D,43.82,8.4,35.42
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___52.xlsx,Нижний_Балыклей,ПРОФИЛЬ___52,2006-07-19,2006-07-19,2006,,124D,40.52,5.1,35.42
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___52.xlsx,Нижний_Балыклей,ПРОФИЛЬ___52,2006-10-03,2006-10-03,2006,,124D,39.01000000000001,3.59,35.42
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___52.xlsx,Нижний_Балыклей,ПРОФИЛЬ___52,2009-07-17,2009-07-17,2009,,124F,29.85,29.85,0.0
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___52.xlsx,Нижний_Балыклей,ПРОФИЛЬ___52,2010-07-22,2010-07-22,2010,,124F,27.56,27.56,0.0
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___52.xlsx,Нижний_Балыклей,ПРОФИЛЬ___52,2011-09-13,2011-09-13,2011,,124F,26.38,26.38,0.0
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___52.xlsx,Нижний_Балыклей,ПРОФИЛЬ___52,2012-09-25,2012-09-25,2012,,124F,25.7,25.7,0.0
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___52.xlsx,Нижний_Балыклей,ПРОФИЛЬ___52,2013-07-12,2013-07-12,2013,,124F,24.33,24.33,0.0
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___52.xlsx,Нижний_Балыклей,ПРОФИЛЬ___52,2015-07-14,2015-07-14,2015,,*,22.1,22.1,0.0
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___52.xlsx,Нижний_Балыклей,ПРОФИЛЬ___52,2016-05-26,2016-05-26,2016,,*,19.92,19.92,0.0
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___52.xlsx,Нижний_Балыклей,ПРОФИЛЬ___52,2021-07-08,2021-07-08,2021,,*,,,
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___52.xlsx,Нижний_Балыклей,ПРОФИЛЬ___52,2022-10-12,2022-10-12,2022,,*,,,
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___52.xlsx,Нижний_Балыклей,ПРОФИЛЬ___52,2024-07-16,2024-07-16,2024,,*,,,
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___53.xlsx,Нижний_Балыклей,ПРОФИЛЬ___53,1958-09-28,1958-09-28,1958,,126,271.83,164.0,107.83
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___53.xlsx,Нижний_Балыклей,ПРОФИЛЬ___53,1960-10-22,1960-10-22,1960,,126,263.73,155.9,107.83
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___53.xlsx,Нижний_Балыклей,ПРОФИЛЬ___53,1965-07-27,1965-07-27,1965,,126,238.43,130.6,107.83
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___53.xlsx,Нижний_Балыклей,ПРОФИЛЬ___53,1970-07-15,1970-07-15,1970,,126,212.03,104.2,107.83
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___53.xlsx,Нижний_Балыклей,ПРОФИЛЬ___53,1974-07-17,1974-07-17,1974,,126,193.43,85.6,107.83
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___53.xlsx,Нижний_Балыклей,ПРОФИЛЬ___53,1980-11-13,1980-11-13,1980,,126,163.93,56.1,107.83
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___53.xlsx,Нижний_Балыклей,ПРОФИЛЬ___53,1986-10-30,1986-10-30,1986,,126,141.48,33.65,107.83
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___53.xlsx,Нижний_Балыклей,ПРОФИЛЬ___53,1991-10-17,1991-10-17,1991,,126,120.46,12.63,107.83
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___53.xlsx,Нижний_Балыклей,ПРОФИЛЬ___53,1995-07-18,1995-07-18,1995,,126В,104.04,104.04,0.0
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___53.xlsx,Нижний_Балыклей,ПРОФИЛЬ___53,1999-07-02,1999-07-02,1999,,126В,90.13,90.13,0.0
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___53.xlsx,Нижний_Балыклей,ПРОФИЛЬ___53,2000-07-07,2000-07-07,2000,,126С,85.3,189.44,-104.14
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___53.xlsx,Нижний_Балыклей,ПРОФИЛЬ___53,2001-07-07,2001-07-07,2001,,,,,
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___53.xlsx,Нижний_Балыклей,ПРОФИЛЬ___53,2005-10-11,2005-10-11,2005,,126В,67.43,67.43,0.0
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___53.xlsx,Нижний_Балыклей,ПРОФИЛЬ___53,2006-07-19,2006-07-19,2006,,126В,64.67,64.67,0.0
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___53.xlsx,Нижний_Балыклей,ПРОФИЛЬ___53,2006-10-03,2006-10-03,2006,,126В,61.92,61.92,0.0
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___53.xlsx,Нижний_Балыклей,ПРОФИЛЬ___53,2009-07-17,2009-07-17,2009,,126В*,50.7,50.7,0.0
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___53.xlsx,Нижний_Балыклей,ПРОФИЛЬ___53,2010-07-22,2010-07-22,2010,,126В(1007),49.66,49.66,0.0
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___53.xlsx,Нижний_Балыклей,ПРОФИЛЬ___53,2011-09-13,2011-09-13,2011,,126D(1007),49.38,177.51,-128.13
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___53.xlsx,Нижний_Балыклей,ПРОФИЛЬ___53,2012-09-25,2012-09-25,2012,,,,,
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___53.xlsx,Нижний_Балыклей,ПРОФИЛЬ___53,2013-07-12,2013-07-12,2013,,126 D дер.кол,45.86000000000001,173.99,-128.13
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___53.xlsx,Нижний_Балыклей,ПРОФИЛЬ___53,2015-07-14,2015-07-14,2015,,126Е(1107),54.63,229.35,-174.72
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___53.xlsx,Нижний_Балыклей,ПРОФИЛЬ___53,2016-05-26,2016-05-26,2016,,126Е(1107),42.0,216.72,-174.72
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___53.xlsx,Нижний_Балыклей,ПРОФИЛЬ___53,2021-07-08,2021-07-08,2021,,126F(1107),28.33000000000001,239.22,-210.89
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___53.xlsx,Нижний_Балыклей,ПРОФИЛЬ___53,2022-10-12,2022-10-12,2022,,126Е(1107),25.28999999999999,200.01,-174.72
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___53.xlsx,Нижний_Балыклей,ПРОФИЛЬ___53,2024-07-16,2024-07-16,2024,,126Е(1107),23.03999999999999,197.76,-174.72
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___54.xlsx,Нижний_Балыклей,ПРОФИЛЬ___54,1958-09-28,1958-09-28,1958,,128,340.85,142.0,198.85
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___54.xlsx,Нижний_Балыклей,ПРОФИЛЬ___54,1960-10-22,1960-10-22,1960,,128,328.45,129.6,198.85
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___54.xlsx,Нижний_Балыклей,ПРОФИЛЬ___54,1965-07-27,1965-07-27,1965,,128,304.15,105.3,198.85
results_models\profiles\Нижний_Балыклей__ПРОФИЛЬ___54.xlsx,Нижний_Балыклей,ПРОФИЛЬ___54,1970-07-15,1970-07-15,1970,,128,280.05,81.2,198.85
